family,metal_lo,metal_hi,li_lo,d_index,anchor_offset_lo,anchor_offset_hi,rmsd_heavy,d_mean_md,d_radius,n_donor_lo,n_donor_hi,n_atoms
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||9||3||0||water,Sm,Eu,6,1,2,3,0.004361023526760797,-0.0016115861882446403,-0.0129999999999999,9,9,214
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||9||3||0||water,Eu,Gd,7,1,3,4,0.006277705306396945,-0.0031180072122287683,-0.013000000000000123,9,9,214
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||8||2||2||water,Tb,Dy,9,1,-3,-2,0.011308459130397361,-0.006008828905526009,-0.013000000000000123,8,8,191
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||8||2||2||water,Dy,Ho,10,1,-2,-1,0.024823725272511338,-0.006320312216801849,-0.01200000000000001,8,8,191
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||8||2||2||water,Ho,Er,11,1,-1,0,0.0712598558537908,-0.004831144358111494,-0.010999999999999899,8,8,191
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||8||2||2||water,Er,Tm,12,1,0,1,0.09971750262631911,-0.00943082182150734,-0.010000000000000009,8,8,191
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||8||2||2||water,Tm,Yb,13,1,1,2,0.07327008414512588,-0.012941751794973477,-0.009000000000000008,8,8,191
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||8||2||2||water,Yb,Lu,14,1,2,3,0.30020357368343864,-0.007545973230137726,-0.008000000000000007,8,8,191
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||9||3||0||water,La,Ce,1,1,-3,-2,0.07628945750641156,-0.018676993666894237,-0.016999999999999904,9,9,277
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||9||3||0||water,Ce,Pr,2,1,-2,-1,0.016936853914098417,-0.004251830920347643,-0.017000000000000126,9,9,277
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||9||3||0||water,Pr,Nd,3,1,-1,0,0.0015510225455209077,-0.0018534815128297133,-0.016999999999999904,9,9,277
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||9||3||0||water,Sm,Eu,6,1,2,3,0.013003936092209843,-0.0027510027823085537,-0.0129999999999999,9,9,277
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water||9||3||0||water,Eu,Gd,7,1,3,4,0.007271331834595631,-0.0023249161251075456,-0.013000000000000123,9,9,277
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C||nitrate||9||3||0||nitrate,Sm,Eu,6,1,0,1,0.0015950165071600849,-0.0010570837800796262,-0.0129999999999999,9,9,268
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C||nitrate||9||3||0||nitrate,Eu,Gd,7,1,1,2,0.0052689942572410565,-0.003223827826600356,-0.013000000000000123,9,9,268
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC||nitrate||9||3||0||nitrate,Sm,Eu,6,1,0,1,0.008703180348282146,-0.003152213255557701,-0.0129999999999999,9,9,340
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC||nitrate||9||3||0||nitrate,Eu,Gd,7,1,1,2,0.008937386677968999,-0.002872389538060016,-0.013000000000000123,9,9,340
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC||water||8||2||2||water,Tb,Dy,9,1,-3,-2,0.008815504190666663,-0.005765576812629902,-0.013000000000000123,8,8,161
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC||water||8||2||2||water,Dy,Ho,10,1,-2,-1,0.013765288283139183,-0.006657625928222721,-0.01200000000000001,8,8,161
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC||water||8||2||2||water,Ho,Er,11,1,-1,0,0.005589207786095958,-0.0059732472422542315,-0.010999999999999899,8,8,161
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC||water||8||2||2||water,Er,Tm,12,1,0,1,0.008553041153001794,-0.007602295339482978,-0.010000000000000009,8,8,161
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC||water||8||2||2||water,Tm,Yb,13,1,1,2,0.014335665869172358,-0.010294931347811787,-0.009000000000000008,8,8,161
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC||water||8||2||2||water,Yb,Lu,14,1,2,3,0.020843104465989103,-0.004044045508968086,-0.008000000000000007,8,8,161
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC||water||9||3||0||water,La,Ce,1,1,-2,-1,0.04830596895853251,-0.008592257049517826,-0.016999999999999904,9,9,232
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC||water||9||3||0||water,Ce,Pr,2,1,-1,0,0.029285485050587496,-0.008386188229071223,-0.017000000000000126,9,9,232
